Data Time,X,Y,Z
2016/01/27 18:57:26.00,31297,34720,24977
2016/01/27 18:57:26.02,31297,34720,24961
2016/01/27 18:57:26.04,31265,34752,25009
2016/01/27 18:57:26.06,31313,34736,25073
2016/01/27 18:57:26.08,31329,34832,25073
2016/01/27 18:57:26.10,31313,34800,24977
2016/01/27 18:57:26.12,31393,34736,24945
2016/01/27 18:57:26.14,31393,34752,24977
2016/01/27 18:57:26.16,31377,34832,25089
2016/01/27 18:57:26.18,31329,34832,25089
2016/01/27 18:57:26.20,31329,34768,25025
2016/01/27 18:57:26.22,31249,34720,24993
2016/01/27 18:57:26.24,31233,34800,25121
2016/01/27 18:57:26.26,31185,34752,24977
2016/01/27 18:57:26.28,31201,34752,25009
2016/01/27 18:57:26.30,31169,34736,25105
2016/01/27 18:57:26.32,31137,34752,25073
2016/01/27 18:57:26.34,31137,34768,25057
2016/01/27 18:57:26.36,31137,34736,25057
2016/01/27 18:57:26.38,31105,34736,25009
2016/01/27 18:57:26.40,31121,34704,25041
2016/01/27 18:57:26.42,31137,34704,25089
2016/01/27 18:57:26.44,31121,34768,25041
2016/01/27 18:57:26.46,31121,34720,25057
2016/01/27 18:57:26.48,31121,34752,25025
2016/01/27 18:57:26.50,31137,34752,25105
2016/01/27 18:57:26.52,31089,34752,25073
2016/01/27 18:57:26.54,31105,34720,25041
2016/01/27 18:57:26.56,31105,34752,25089
2016/01/27 18:57:26.58,31137,34752,25121
2016/01/27 18:57:26.60,31089,34736,25089
2016/01/27 18:57:26.62,31089,34672,25073
2016/01/27 18:57:26.64,31089,34752,25089
2016/01/27 18:57:26.66,31057,34736,25089
2016/01/27 18:57:26.68,31105,34736,25089
2016/01/27 18:57:26.70,31105,34688,25073
2016/01/27 18:57:26.72,31089,34720,25089
2016/01/27 18:57:26.74,31121,34704,25009
2016/01/27 18:57:26.76,31121,34688,24993
2016/01/27 18:57:26.78,31153,34720,25025
2016/01/27 18:57:26.80,31153,34688,25009
2016/01/27 18:57:26.82,31137,34720,25025
2016/01/27 18:57:26.84,31185,34720,25041
2016/01/27 18:57:26.86,31201,34720,25041
2016/01/27 18:57:26.88,31249,34720,25009
2016/01/27 18:57:26.90,31233,34656,24977
2016/01/27 18:57:26.92,31233,34656,25009
2016/01/27 18:57:26.94,31265,34688,24961
2016/01/27 18:57:26.96,31313,34656,25009
2016/01/27 18:57:26.98,31329,34704,25041
2016/01/27 18:57:27.00,31313,34768,25025
2016/01/27 18:57:27.02,31297,34688,24961
2016/01/27 18:57:27.04,31329,34672,24929
2016/01/27 18:57:27.06,31345,34672,25009
2016/01/27 18:57:27.08,31345,34672,25025
2016/01/27 18:57:27.10,31345,34672,25025
2016/01/27 18:57:27.12,31345,34640,25009
2016/01/27 18:57:27.14,31329,34656,24977
2016/01/27 18:57:27.16,31329,34688,25073
2016/01/27 18:57:27.18,31313,34752,24993
2016/01/27 18:57:27.20,31281,34640,24865
2016/01/27 18:57:27.22,31329,34704,25057
2016/01/27 18:57:27.24,31297,34816,25057
2016/01/27 18:57:27.26,31297,34752,25009
2016/01/27 18:57:27.28,31297,34736,24961
2016/01/27 18:57:27.30,31297,34672,25009
2016/01/27 18:57:27.32,31281,34624,25041
2016/01/27 18:57:27.34,31297,34640,25025
2016/01/27 18:57:27.36,31281,34672,25089
2016/01/27 18:57:27.38,31281,34752,25121
2016/01/27 18:57:27.40,31281,34816,25137
2016/01/27 18:57:27.42,31281,34800,25089
2016/01/27 18:57:27.44,31217,34848,24977
2016/01/27 18:57:27.46,31233,34880,25025
2016/01/27 18:57:27.48,31249,34896,25089
2016/01/27 18:57:27.50,31249,34880,25025
2016/01/27 18:57:27.52,31233,34880,25025
2016/01/27 18:57:27.54,31249,34832,25025
2016/01/27 18:57:27.56,31281,34816,25041
2016/01/27 18:57:27.58,31281,34816,25073
2016/01/27 18:57:27.60,31265,34784,25089
2016/01/27 18:57:27.62,31281,34768,25089
2016/01/27 18:57:27.64,31265,34752,25041
2016/01/27 18:57:27.66,31233,34752,25073
2016/01/27 18:57:27.68,31265,34736,25057
2016/01/27 18:57:27.70,31233,34784,25057
2016/01/27 18:57:27.72,31249,34800,25089
2016/01/27 18:57:27.74,31265,34768,25057
2016/01/27 18:57:27.76,31233,34736,25009
2016/01/27 18:57:27.78,31233,34736,25009
2016/01/27 18:57:27.80,31313,34688,25041
2016/01/27 18:57:27.82,31249,34736,24961
2016/01/27 18:57:27.84,31249,34720,25025
2016/01/27 18:57:27.86,31265,34688,25041
2016/01/27 18:57:27.88,31233,34720,24993
2016/01/27 18:57:27.90,31233,34688,25105
2016/01/27 18:57:27.92,31249,34704,25073
2016/01/27 18:57:27.94,31201,34672,25009
2016/01/27 18:57:27.96,31217,34608,24993
2016/01/27 18:57:27.98,31249,34656,25089
2016/01/27 18:57:28.00,31313,34736,25121
2016/01/27 18:57:28.02,31265,34736,25089
2016/01/27 18:57:28.04,31265,34688,25041
2016/01/27 18:57:28.06,31265,34704,25025
2016/01/27 18:57:28.08,31233,34736,25041
2016/01/27 18:57:28.10,31281,34704,25057
2016/01/27 18:57:28.12,31313,34720,25025
2016/01/27 18:57:28.14,31313,34720,25025
2016/01/27 18:57:28.16,31265,34704,25009
