Data Time,X,Y,Z
2016/01/27 19:48:36.00,31665,29169,40160
2016/01/27 19:48:36.02,31697,29217,40064
2016/01/27 19:48:36.04,31681,29169,40112
2016/01/27 19:48:36.06,31697,29153,40064
2016/01/27 19:48:36.08,31713,29169,40096
2016/01/27 19:48:36.10,31729,29169,40112
2016/01/27 19:48:36.12,31729,29169,40112
2016/01/27 19:48:36.14,31681,29185,40080
2016/01/27 19:48:36.16,31681,29185,40080
2016/01/27 19:48:36.18,31713,29169,40128
2016/01/27 19:48:36.20,31681,29185,40080
2016/01/27 19:48:36.22,31681,29169,40096
2016/01/27 19:48:36.24,31713,29185,40064
2016/01/27 19:48:36.26,31745,29201,40112
2016/01/27 19:48:36.28,31729,29201,40128
2016/01/27 19:48:36.30,31665,29169,40144
2016/01/27 19:48:36.32,31697,29169,40112
2016/01/27 19:48:36.34,31729,29169,40112
2016/01/27 19:48:36.36,31745,29217,40096
2016/01/27 19:48:36.38,31681,29185,40080
2016/01/27 19:48:36.40,31713,29201,40128
2016/01/27 19:48:36.42,31681,29201,40128
2016/01/27 19:48:36.44,31665,29185,40128
2016/01/27 19:48:36.46,31681,29185,40144
2016/01/27 19:48:36.48,31681,29169,40112
2016/01/27 19:48:36.50,31713,29201,40144
2016/01/27 19:48:36.52,31681,29201,40144
2016/01/27 19:48:36.54,31697,29185,40080
2016/01/27 19:48:36.56,31697,29217,40096
2016/01/27 19:48:36.58,31697,29265,40144
2016/01/27 19:48:36.60,31729,29201,40160
2016/01/27 19:48:36.62,31745,29185,40160
2016/01/27 19:48:36.64,31697,29169,40096
2016/01/27 19:48:36.66,31681,29169,40064
2016/01/27 19:48:36.68,31697,29169,40144
2016/01/27 19:48:36.70,31729,29153,40096
2016/01/27 19:48:36.72,31665,29153,40112
2016/01/27 19:48:36.74,31665,29153,40144
2016/01/27 19:48:36.76,31665,29153,40112
2016/01/27 19:48:36.78,31729,29153,40096
2016/01/27 19:48:36.80,31713,29233,40128
2016/01/27 19:48:36.82,31697,29249,40192
2016/01/27 19:48:36.84,31681,29233,40144
2016/01/27 19:48:36.86,31665,29185,40128
2016/01/27 19:48:36.88,31681,29153,40144
2016/01/27 19:48:36.90,31665,29137,40096
2016/01/27 19:48:36.92,31713,29153,40080
2016/01/27 19:48:36.94,31697,29169,40112
2016/01/27 19:48:36.96,31697,29137,40096
2016/01/27 19:48:36.98,31681,29137,40096
2016/01/27 19:48:37.00,31665,29105,40048
2016/01/27 19:48:37.02,31681,29089,40080
2016/01/27 19:48:37.04,31681,29105,40080
2016/01/27 19:48:37.06,31681,29121,40080
2016/01/27 19:48:37.08,31729,29137,40080
2016/01/27 19:48:37.10,31713,29169,40128
2016/01/27 19:48:37.12,31681,29201,40144
2016/01/27 19:48:37.14,31681,29153,40112
2016/01/27 19:48:37.16,31665,29105,40096
2016/01/27 19:48:37.18,31697,29105,40048
2016/01/27 19:48:37.20,31649,29153,40048
2016/01/27 19:48:37.22,31665,29169,40064
2016/01/27 19:48:37.24,31649,29169,40112
2016/01/27 19:48:37.26,31681,29105,40064
2016/01/27 19:48:37.28,31649,29137,40096
2016/01/27 19:48:37.30,31681,29137,40080
2016/01/27 19:48:37.32,31713,29169,40064
2016/01/27 19:48:37.34,31681,29169,40080
2016/01/27 19:48:37.36,31665,29121,40064
2016/01/27 19:48:37.38,31665,29137,40096
2016/01/27 19:48:37.40,31649,29137,40096
2016/01/27 19:48:37.42,31681,29169,40128
2016/01/27 19:48:37.44,31713,29137,40128
2016/01/27 19:48:37.46,31649,29137,40112
2016/01/27 19:48:37.48,31681,29121,40048
2016/01/27 19:48:37.50,31665,29137,40064
2016/01/27 19:48:37.52,31681,29137,40112
2016/01/27 19:48:37.54,31697,29089,40016
2016/01/27 19:48:37.56,31713,29073,40080
2016/01/27 19:48:37.58,31649,29121,40080
2016/01/27 19:48:37.60,31697,29121,40016
2016/01/27 19:48:37.62,31681,29121,40064
2016/01/27 19:48:37.64,31681,29169,40096
2016/01/27 19:48:37.66,31665,29121,40112
2016/01/27 19:48:37.68,31649,29137,40128
2016/01/27 19:48:37.70,31665,29105,40096
2016/01/27 19:48:37.72,31697,29073,40048
2016/01/27 19:48:37.74,31665,29121,40064
2016/01/27 19:48:37.76,31665,29089,40048
2016/01/27 19:48:37.78,31697,29121,40096
2016/01/27 19:48:37.80,31665,29137,40064
2016/01/27 19:48:37.82,31681,29121,40096
2016/01/27 19:48:37.84,31665,29137,40064
2016/01/27 19:48:37.86,31665,29153,40064
2016/01/27 19:48:37.88,31681,29137,40048
2016/01/27 19:48:37.90,31665,29137,40048
2016/01/27 19:48:37.92,31697,29137,40080
2016/01/27 19:48:37.94,31729,29153,40128
2016/01/27 19:48:37.96,31665,29137,40096
2016/01/27 19:48:37.98,31681,29121,40080
2016/01/27 19:48:38.00,31649,29105,40096
2016/01/27 19:48:38.02,31665,29089,40064
