Data Time,X,Y,Z
2016/01/27 18:40:28.32,29137,38640,28657
2016/01/27 18:40:28.34,29121,38528,28657
2016/01/27 18:40:28.36,29137,38528,28625
2016/01/27 18:40:28.38,29121,38592,28609
2016/01/27 18:40:28.40,29073,38592,28593
2016/01/27 18:40:28.42,28993,38640,28545
2016/01/27 18:40:28.44,29057,38656,28481
2016/01/27 18:40:28.46,29057,38608,28513
2016/01/27 18:40:28.48,29073,38624,28641
2016/01/27 18:40:28.50,29105,38560,28513
2016/01/27 18:40:28.52,29105,38560,28513
2016/01/27 18:40:28.54,29105,38608,28673
2016/01/27 18:40:28.56,29025,38560,28625
2016/01/27 18:40:28.58,29041,38544,28561
2016/01/27 18:40:28.60,29057,38608,28577
2016/01/27 18:40:28.62,29041,38592,28641
2016/01/27 18:40:28.64,29057,38592,28593
2016/01/27 18:40:28.66,29057,38608,28545
2016/01/27 18:40:28.68,29073,38624,28529
2016/01/27 18:40:28.70,29041,38608,28625
2016/01/27 18:40:28.72,29025,38592,28657
2016/01/27 18:40:28.74,29073,38608,28625
2016/01/27 18:40:28.76,29121,38640,28609
2016/01/27 18:40:28.78,29105,38608,28561
2016/01/27 18:40:28.80,29073,38608,28609
2016/01/27 18:40:28.82,29089,38656,28625
2016/01/27 18:40:28.84,29057,38624,28497
2016/01/27 18:40:28.86,29105,38672,28497
2016/01/27 18:40:28.88,29073,38592,28577
2016/01/27 18:40:28.90,29105,38624,28657
2016/01/27 18:40:28.92,29121,38608,28673
2016/01/27 18:40:28.94,29089,38592,28593
2016/01/27 18:40:28.96,29121,38656,28609
2016/01/27 18:40:28.98,29057,38624,28609
2016/01/27 18:40:29.00,29041,38656,28641
2016/01/27 18:40:29.02,29041,38624,28593
2016/01/27 18:40:29.04,29025,38592,28625
2016/01/27 18:40:29.06,29009,38640,28545
2016/01/27 18:40:29.08,29041,38624,28529
2016/01/27 18:40:29.10,29057,38624,28593
2016/01/27 18:40:29.12,29105,38528,28529
2016/01/27 18:40:29.14,29089,38512,28465
